gene,adj_OR,E_value,p_adj_depth
ENSG00000185862.7,0.6191962755557828,2.6115999504536127,6.5808745895318e-16
ENSG00000172264.19,0.6515472573600289,2.4408035499870127,1.0643465088601347e-14
ENSG00000153487.13,1.4702986062751402,2.301851001100313,1.4848001366178966e-10
ENSG00000226979.9,1.4085534160579516,2.167150351083775,1.6181970153246897e-07
ENSG00000212907.2,1.3497599755789913,2.036849501111151,3.0471083865021246e-08
ENSG00000162704.16,0.751462871090539,1.994157050579054,1.7822526682834587e-07
ENSG00000184203.8,0.7799422686246043,1.883604944746931,6.005777795805487e-06
ENSG00000123095.6,0.8409495503101829,1.663371239480832,0.00258322308253178
ENSG00000137309.21,1.1862286435424887,1.6562390170643546,0.00881382406744704
ENSG00000112118.20,0.8765382708898941,1.541713873282583,0.017732877077046016
ENSG00000132881.12,0.8803361139389348,1.5288759160634648,0.040495652610964404
ENSG00000154710.18,0.9161340895618513,1.4076499616761118,0.1080026033478749
ENSG00000136997.22,1.0759556686551188,1.3618313973484883,0.17636561766730674
ENSG00000169926.11,1.016676113173625,1.1468844305892365,0.750630215569354
ENSG00000245532.11,1.008617134777687,1.1018447583098996,0.8724274561561568
